Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
137,0.9923046925521777,0.9920741781324023,0.9925285279709996,0.9896902900001724,0.9895894633581879,0.9897901451762798
138,0.9922763828878362,0.9920454228901577,0.9925006623716554,0.9896579742703091,0.9895569724134319,0.9897580043310583
139,0.9922329549118298,0.9920013128055609,0.9924579141907584,0.9896213063697534,0.9895201059501323,0.9897215346188462
140,0.9922027279251193,0.9919706120298009,0.992428159386141,0.989585480704548,0.9894840865425576,0.9896859023306342
141,0.9921668137528341,0.9919341359210582,0.9923928052423184,0.9895496266610078,0.9894480388323916,0.9896502415879731
142,0.9921516813291935,0.9919187669777856,0.9923779085308425,0.989518368878196,0.9894166123574768,0.989619152177608
143,0.992123292284736,0.9918899346351061,0.9923499612653682,0.9894934592962995,0.9893915684465533,0.9895943766695716
144,0.9921024625659642,0.9918687800388551,0.9923294553075689,0.9894589662755794,0.9893568895827052,0.9895600691383206
145,0.9920778348140777,0.9918437686071442,0.9923052099146469,0.9894319929673271,0.9893297711008525,0.989533240727243
146,0.9920475109956297,0.9918129730672149,0.9922753561932375,0.989397167648761,0.9892947585502372,0.989498602284051
147,0.9920076912810547,0.9917725351012923,0.9922361526015354,0.9893591255832868,0.9892565122320188,0.9894607640822586
148,0.991979231546353,0.9917436342608346,0.9922081324514813,0.9893280292339474,0.9892252491064487,0.9894298341910424
149,0.9919488541604765,0.9917127866735751,0.9921782236393353,0.9892983578930361,0.9891954187407326,0.9894003215704951
150,0.9919260589046572,0.9916896390255313,0.9921557795530397,0.9892721570284693,0.9891690775533425,0.9893742607594472
151,0.9919032512442328,0.9916664791325271,0.9921333228989878,0.9892453564452882,0.9891421335458065,0.9893476033249239
152,0.9918709249683846,0.9916336543149892,0.992101493427264,0.9892103771298353,0.9891069672292533,0.9893128106508629
153,0.9918557046957045,0.9916181995659789,0.9920865068114959,0.9891797509881123,0.9890761775431838,0.9892823477387847
154,0.9918233467200233,0.991585343665817,0.992054645017169,0.9891400574324711,0.9890362722850098,0.9892428654782671
155,0.9918023966220635,0.991564071568815,0.9920340157873195,0.9891134783162577,0.9890095515568559,0.9892164277011293
156,0.991769995990329,0.9915311734721115,0.9920021108645848,0.9890854114422365,0.9889813352133578,0.9891885100073258
157,0.9917490190642319,0.9915098748664074,0.9919814544796438,0.9890514722125605,0.9889472154035378,0.9891547510077583
158,0.9917223075472344,0.9914827541697436,0.9919551506906815,0.9890262940956648,0.9889219034440246,0.9891297064737729
159,0.9916936746235998,0.9914536832329849,0.9919269542247751,0.9889972925998469,0.9888927479085677,0.9891008587183959
160,0.9916516608261666,0.9914110279445744,0.9918855796427933,0.9889653426285243,0.9888606284078294,0.9890690779470611
161,0.9916134474783626,0.9913722323884202,0.9918479464409361,0.9889225213247699,0.9888175801989398,0.9890264831077697
162,0.9915924188729334,0.9913508838471723,0.9918272366362307,0.9888943442180735,0.9887892539526225,0.9889984548508014
163,0.9915675490006041,0.9913256358873196,0.9918027435022646,0.9888664354741012,0.9887611975709075,0.9889706934565899
164,0.9915503217911673,0.9913081469905315,0.9917857770429046,0.9888323323635417,0.9887269142121338,0.9889367702421004
165,0.9915273417979624,0.9912848182209325,0.9917631445739937,0.9888017372218333,0.9886961575292783,0.9889063363257423
166,0.9915081841815612,0.9912653701238543,0.9917442763940909,0.9887696518484891,0.9886639029194229,0.9888744198579505
167,0.9914909352612983,0.991247859864419,0.9917272878716065,0.9887360753269931,0.9886301494948321,0.9888410198936298
168,0.9914583378997862,0.9912147691703085,0.9916951820623182,0.9886939319126195,0.9885877843406766,0.9887990977857084
169,0.9914257248959387,0.9911816633999226,0.9916630600466878,0.9886620803532575,0.9885557653901406,0.9887674132902246
170,0.9914007671886219,0.9911563290106215,0.9916384776557533,0.988636693454277,0.9885302451440467,0.9887421594766784
171,0.991371952145543,0.9911270795473874,0.9916100954529211,0.9886121738488771,0.9885055968143168,0.9887177683423478
172,0.9913431246457565,0.9910978180537097,0.9915817003685121,0.9885861612706514,0.9884794477660844,0.9886918919652619
173,0.9913142833915919,0.9910685431896871,0.9915532911459045,0.9885589499237839,0.9884520937673342,0.9886648229889273
174,0.9912815821120183,0.991035351011505,0.9915210789783427,0.9885334982739183,0.9884265087904675,0.9886395044028418
175,0.9912488648333112,0.9910021433722233,0.9914888502753624,0.9884902621268508,0.9883830464036969,0.9885964940487332
176,0.9912122774364045,0.990965008493846,0.9914528083652767,0.9884618115880415,0.9883544471513616,0.9885681919295211
177,0.9911891525801184,0.9909415379965303,0.9914300278853581,0.9884339271328954,0.9883264170078611,0.9885404528736758
178,0.9911660164785231,0.9909180564180685,0.9914072359939401,0.9884080987701341,0.9883004537741078,0.9885147591136165
179,0.9911467272011268,0.990898479349733,0.991388233449836,0.9883792830129526,0.9882714876552707,0.9884860934185917
180,0.991127429473537,0.9908788939246858,0.991369222360101,0.9883453950098172,0.9882374229860672,0.9884523817293662
181,0.9910830242957521,0.9908338277495911,0.9913254757454799,0.9883129740737457,0.9882048332123738,0.988420129294361
182,0.9910463235265558,0.9907965817752191,0.9912893181765349,0.9882573162514557,0.9881488859899954,0.9883647602958969
183,0.9910250638204864,0.9907750066357319,0.991268372741727,0.9882200810530314,0.988111457469655,0.988327718034442
184,0.9910018493206413,0.9907514478350573,0.991245501263085,0.9881884653309689,0.9880796776695242,0.9882962660619363
185,0.9909824919632114,0.9907318035792603,0.991226429733265,0.9881601058767681,0.9880511711258767,0.9882680534018768
186,0.9909553780513293,0.9907042881780892,0.991199715808977,0.9881371031011505,0.9880280491077362,0.9882451696288598
187,0.990936000556867,0.9906846240043695,0.9911806239186589,0.9881122912562738,0.9880031087069371,0.9882204860807291
188,0.9909049826758108,0.990653147732294,0.9911500627078085,0.9880823777023334,0.9879730402696143,0.9881907270974822
189,0.9908526139780335,0.9906000067030052,0.9910984634469588,0.9880413687206662,0.9879318191835468,0.988149929791888
190,0.9908273843569138,0.99057440565154,0.991073603863666,0.9880114123414901,0.9879017080164699,0.9881201278877092
191,0.9907982502012549,0.9905448429429069,0.9910448966457795,0.9879850230837068,0.9878751824453139,0.9880938746665274
192,0.990780759558856,0.9905270952302527,0.991027662101668,0.9879592130332273,0.9878492391358054,0.9880681976037926
193,0.9907632603696674,0.9905093389886425,0.991010418990007,0.9879327850469455,0.987822674781554,0.9880419057074199
194,0.9907438083896397,0.9904896014631257,0.9909912514702017,0.9879066401480974,0.9877963950583469,0.9880158953576077
195,0.9907185093415035,0.9904639313667818,0.9909663220577642,0.9878777735868484,0.9877673797482895,0.9879871772411785
196,0.9906970923999935,0.9904422006051197,0.9909452177398128,0.9878362516547311,0.9877256440839906,0.987945868604452
197,0.9906873524688891,0.9904323180147091,0.9909356199220534,0.9878058404707557,0.9876950765186331,0.9879156134820783
198,0.9906678593063892,0.9904125393879796,0.9909164111246028,0.987779921070075,0.987669023886421,0.9878898270395168
199,0.99065420753824,0.9903986877989318,0.9909029584056016,0.987755791667575,0.9876447705074253,0.9878658213584707
200,0.9906366463453644,0.9903808696687599,0.9908856531541298,0.9877280249730424,0.9876168612333337,0.9878381969497768
201,0.9906073655213465,0.9903511608562937,0.9908567986583068,0.9876987314513304,0.9875874174061453,0.9878090534236795
202,0.9905839313493572,0.9903273845518092,0.9908337052914461,0.9876730465250464,0.9875616007844449,0.9877834999210973
203,0.9905429044016102,0.9902857595166242,0.9907932741127274,0.9876349498105204,0.9875233089166386,0.987745597957149
204,0.9905096749393549,0.9902520464502795,0.9907605263808901,0.9876074157162795,0.9874956338955672,0.9877182044986399
205,0.9904862035169075,0.9902282337806699,0.9907373948795654,0.987579856807473,0.9874679339890234,0.987690786295406
206,0.9904646773766941,0.9902063949317028,0.9907161802304822,0.9875468224242979,0.9874347307123545,0.9876579204552439
207,0.9904529303450559,0.9901944773366984,0.990704603096207,0.98751680024543,0.987404555174986,0.9876280513165158
208,0.9904411776681292,0.9901825540476641,0.9906930203626068,0.9874919186281014,0.987379546547233,0.9876032964457451
209,0.9904215811144456,0.990162673144436,0.9906737070408588,0.9874585214326428,0.9873459790078263,0.9875700692401855
210,0.9903941325247224,0.9901348266207793,0.9906466548183734,0.9874241926852031,0.9873114753385062,0.9875359150510757
211,0.9903764780207681,0.9901169163762343,0.9906292550459963,0.9873983523757587,0.9872855034547561,0.9875102060421657
212,0.9903548857528607,0.9900950114671702,0.9906079741798801,0.9873697496762958,0.9872567551651684,0.9874817486288888
213,0.9903332825233677,0.990073095668959,0.9905866822772331,0.9873459984668438,0.9872328831205381,0.9874581180018802
214,0.9903116691356959,0.990051169808329,0.9905653801188239,0.9873264976532353,0.9872132831310177,0.9874387161563424
215,0.9902861138215874,0.9900252453566927,0.9905401924708143,0.9873042418861516,0.9871909142224048,0.9874165732933338
216,0.9902664476504608,0.9900052953654457,0.990520808987402,0.9872807534896652,0.9871673064781105,0.9873932039938974
217,0.9902349665843604,0.9899733604157712,0.9904897799918184,0.9872432108622896,0.9871295732492574,0.9873558515674083
218,0.9901975620082779,0.9899354173184287,0.9904529117849432,0.9872169428342285,0.9871031719621769,0.9873297165180034
219,0.9901896812501095,0.989927423156481,0.9904451439749546,0.9871979887404558,0.98708412172814,0.9873108583615074
220,0.990169968529254,0.9899074268343596,0.9904257137112707,0.98717596117024,0.9870619824499105,0.9872889422627911
221,0.9901502456780085,0.9898874204074035,0.9904062732887823,0.9871536135605973,0.9870395215532562,0.9872667076998924
222,0.9901245939638819,0.9898614001747541,0.9903809886004672,0.9871275778540984,0.9870133539370324,0.9872408036231062
223,0.9901009053086267,0.9898373715338736,0.9903576385528398,0.9871024460587314,0.9869880948853214,0.9872157988136813
